[Start Region 1]	Cost	Unique	Keywords	Effect	License
Molded Armor	2	Yes	Shield, Protocol	Activate or deactivate this shield at the start of your turn. While this module is active, gain resistance to explosive damage, but take 1 heat when you take damage.	HA Barbarossa III
Phasing Ammo	3	-	Ammo	Choose 1 ranged weapon. This weapon completely ignores cover and line of sight of all kinds. It can fire through solid walls or obstacles at targets, as long as their location is known and they are in range.	HA Napoleon I
Stasis Barrier	2	-	Limited (1), Shield, Deployable	This module deploys as a 4 space long piece of size 2 cover that lasts until the end of the current challenge. While behind the barrier, a target counts as having heavy cover and has resistance to all damage from blast, line, and cone attacks. At the end of the challenge, it deactivates and is used up. The cover itself is immune to all damage.	HA Napoleon I
Stasis Mine	1	-	Limited (1), Mine	You can detonate this mine with a quick action once planted (or it activates normally). Once detonated, this mine creates a burst 4 area around it. Affected targets may make an agility check with 1 difficulty to escape if on the edge, otherwise they are trapped inside. The area inside is locked from the normal flow of space time, creating an impermeable barrier around its edge. Effects, mechs, and pilots inside are stunned and removed from play until the end of next round, and all other effects cannot penetrate into the area. Time does not flow normally for targets inside the area (it stops completely), and is separate to the outside world. Active effects, attacks, modules, and other individuals and actions inside the area pause. At the end of the the next round (after all characters have acted), this area returns and resumes play as normal.	HA Napoleon II
Dispersal Shield	3	Yes	Reaction, Shield	1/round you can force any attack that misses you to be re-rolled against a target of your choice within your attacker’s range (even a target allied to them).	HA Napoleon II
Harrison Armory Blackshield	2	Yes	Shield, Full Action, 4 heat (self)	As a full action, this system can be activated to generate a burst 4 area centered on user. While active, the flow of time is altered drastically in a small sliver of space in a bubble around the user. Nothing, not even light, can enter or exit the shield. It is impermeable and invulnerable. When the shield is activated, mechs caught on the edge must make an agility check to choose which side they end up on, otherwise the user chooses. To those inside the shield, the world outside the shield goes totally black, and the inverse happens from outside. No action or effect can enter or exit the shield while it is active or draw line of sight though (even those that normally ignore it), though time passes normally on both sides. The shield drops automatically at the end of the user’s next turn.	HA Napoleon III
Reactor Stabilizer	2	Yes	-	When you gain your first point of reactor stress, you can re-roll your overheating check (but must keep the second result, even if it’s worse).	HA Sherman I
Redundant Systems Upgrade	2	Yes	Limited (1)	You can activate this module to make a Stabilize systems action a free action.	HA Sherman II
ASURA-class NHP	3	Yes	AI	Your mech gains the AI property and the ASURA Protocol: Protocol, Limited (1). Gain an extra quick action each turn while active. This protocol lasts until the end of 3 rounds, including this one. It can only be activated once per challenge. This extra action must still obey normal rules about duplicating actions (you can’t use it to Boost if you’ve already Boosted this turn, for example).	HA Sherman III
Repulser Field	1	Yes	Quick Action	You can use this system as a quick action to emit a burst 2 pulse around your mech. Targets caught in the area (allied or enemy) must pass a hull check or be knocked back directly away from you 3 spaces. The pulse then detonates any mines or explosives caught in the field.	HA Iskander I
Grounding Charge	2	-	Limited (2), Mine	This charge can also be detonated with an action. Once detonated, targets in a burst 6 area centered on the charge must make a successful hull check or be knocked prone and pulled as far as possible towards the charge as though they moved normally (starting with the closest target). The charge also pulls any flying mechs or vehicles within range 6 above the area that fail the check to the ground, making them roll for damage as if they fell.	HA Iskander III
Support Shield	2	Yes	Shield, Quick Action, 2 heat (self)	Activating this system generates a Burst 3 area centered on user until the end of the user’s next turn. All ranged weapon attacks made against you and any allied targets inside the shield are made with +1 Difficulty, but your mech is immobilized for the same duration.	HA Saladin I
Emergency Repair System	2	Yes	-	When you brace, immediately after taking damage, you can spend 1 repair to restore your HP to full.	HA Saladin I
Paracausal Weapon Mod	4	-	-	Choose one weapon- damage from this weapon cannot be reduced in any way, by armor, resistance, or any other kind of damage reduction.	HA Saladin II
Hardlight Defense System	3	Yes	Shield, Quick Action, 4 heat (self)	Activating this system generates a Burst 4 area centered on the user until the end of your next turn. All targets, allied and enemy, inside this area gain resistance to all damage that originates from outside the shield, but your mech is immobilized while it is active.	HA Saladin II
Projected Shield	1	Yes	Shield, Protocol	Activate or deactivate this shield at the start of your turn. Choose an allied mech. Until the end of the next round, as long as that mech is in your sensor range, all attacks against that mech are made at +1 Difficulty, but deal 1 heat to you on a hit.	HA Saladin III
VISHNU-Class NHP	3	Yes	AI	Your mech gains the AI property and the following protocol: DHARMA Wall: Protocol, 3 heat (self): Until the end of your next turn, your mech is immobilized, but all ranged weapons that target you add +1 Difficulty to their attack rolls. If a weapon misses you while DHARMA WALL is active, you may deal 1d6 damage to its owner. The damage dealt this way is the same type as the attempted attack.	HA Saladin III
Explosive Vent	2	Yes	System	When you cool heat, you can explosively vent heat in a burst 2 area around you. Affected targets, friend or foe, must pass an engineering skill check or take 1d3 heat.	HA Genghis I
Auto-Cooler	2	Yes	-	Activate this cooler as a free action at the start of your turn. If you don’t take damage, move, or overheat before the start of your next turn, cool your mech at the start of your next turn.	HA Genghis II
HAVOK Ammo	2	-	Ammo	Choose a ranged weapon. On a critical hit, the affected mech also takes 1 Burn and 1 Heat.	HA Genghis II
AGNI-class NHP	3	Yes	AI	Your mech gains the AI property and the AGNI Protocol: Protocol, Limited (1): For 3 rounds, at the end of your turn, you automatically cool, clearing your heat gauge. This vent creates a burst 3 zone around you. All targets within that zone must make an engineering skill check. On a failure, a target takes 2 Burn and is pushed outside the zone. This area provides light cover until the end of the next round. This protocol can only be activated once per challenge.	HA Genghis III
